Ensembl.ID	Mouse.Brain.RP.R1	Mouse.Brain.RP.R2	Mouse.Brain.RP.R3	Mouse.Liver.RP.R1	Mouse.Liver.RP.R2	Mouse.Liver.RP.R3	Mouse.Testis.RP.R1	Mouse.Testis.RP.R2	Mouse.Testis.RP.R3	Opossum.Brain.RP.R1	Opossum.Brain.RP.R2	Opossum.Brain.RP.R3	Opossum.Liver.RP.R1	Opossum.Liver.RP.R2	Opossum.Liver.RP.R3	Opossum.Testis.RP.R1	Opossum.Testis.RP.R2	Opossum.Testis.RP.R3	Mouse.Brain.TR.R1	Mouse.Brain.TR.R2	Mouse.Brain.TR.R3	Mouse.Liver.TR.R1	Mouse.Liver.TR.R2	Mouse.Liver.TR.R3	Mouse.Testis.TR.R1	Mouse.Testis.TR.R2	Mouse.Testis.TR.R3	Opossum.Brain.TR.R1	Opossum.Brain.TR.R2	Opossum.Brain.TR.R3	Opossum.Liver.TR.R1	Opossum.Liver.TR.R2	Opossum.Liver.TR.R3	Opossum.Testis.TR.R1	Opossum.Testis.TR.R2	Opossum.Testis.TR.R3
ENSMUSG00000031250	1.0253	2.2589	1.3805	0	0	0	0	0	0	0	0	0	3.2175	4.0337	1.2241	0	0	0	0.8897	0.8787	1.0363	0	0	0	0	0	0	0	0	0	1.7704	2.817	0.8276	0	0	0
ENSMUSG00000026584	8.751	9.3077	9.4224	15.7934	19.7973	18.3272	11.1655	10.8435	11.2516	7.5744	6.5936	7.3241	11.9769	14.7178	20.0486	23.0284	19.4597	22.7019	12.0096	12.2956	11.7727	25.8031	24.8109	23.9194	20.2666	21.3762	22.0022	9.3082	9.0979	8.8286	11.1343	13.6885	14.9801	21.9491	20.8629	19.3899
ENSMUSG00000019810	36.8731	24.9463	23.4807	8.2726	8.5371	9.6847	46.9446	45.656	42.0867	10.9458	14.0777	15.379	33.4827	38.2839	34.0267	65.5708	86.0687	80.9372	31.1028	23.9944	28.0359	9.501	6.3123	10.9337	21.6009	21.3694	16.3752	6.8492	7.9003	9.0172	17.5763	20.401	18.0199	21.8065	29.6208	25.065
ENSMUSG00000032350	36.5797	36.4545	28.9577	670.9355	723.46	440.3942	31.0088	29.3548	26.0625	33.6434	38.0375	37.3877	421.9522	431.6747	491.4811	17.5	24.7125	20.2779	44.6684	42.7093	43.0499	799.6273	829.1816	530.2747	30.9269	31.9418	30.1145	26.2359	22.7132	26.8707	293.1938	382.737	423.109	11.0385	10.9064	11.3119
ENSMUSG00000023994	13.4125	14.3147	13.8841	12.9519	10.9728	9.2514	26.4691	20.8672	23.6102	16.5296	20.4412	14.9011	21.0853	24.4859	19.0537	23.7328	23.1145	26.6851	5.6564	6.0029	7.2591	9.5243	9.0067	11.0662	9.6185	14.0677	13.4708	23.3875	24.6544	21.2169	18.8623	24.8218	20.2634	30.2101	29.7571	44.8449
ENSMUSG00000028803	35.5615	24.8257	30.2679	3.1424	4.5233	3.4145	1.7439	0.7192	1.4341	58.893	59.9215	52.2253	9.9729	8.3239	9.161	5.8841	3.2631	3.0286	40.0709	29.9398	36.6041	6.7566	9.8144	8.0314	1.6631	1.7984	1.871	35.9046	49.951	41.3502	26.3363	15.2779	19.5666	7.9554	6.6344	5.967
ENSMUSG00000023961	18.9066	18.0479	15.96	21.1674	15.6119	22.7604	23.3316	23.1036	23.9487	30.1055	33.3955	29.0095	23.575	27.1188	22.0191	353.019	356.7682	312.5077	16.272	11.2776	13.4495	22.0521	12.3452	16.0328	15.4556	13.5743	13.3375	14.9313	16.3508	13.2305	27.2281	20.2585	18.2722	383.949	373.4298	351.8953
ENSMUSG00000034684	4.7319	3.697	3.6388	2.856	2.3819	2.9069	1.5989	1.414	1.4628	2.0571	2.5903	1.9786	8.0718	5.3431	4.9842	1.0606	1.1551	1.0184	6.6783	6.6153	6.6531	6.673	5.7217	3.7256	2.1258	2.0151	1.9135	3.0892	3.6849	3.0515	7.5996	9.7882	8.5095	1.2218	0.8153	0.866
ENSMUSG00000041301	0	0	0	0	0	0	3.7026	6.372	8.5777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3669	17.5329	20.9631	0	0	0	0	0	0	0	0	0
ENSMUSG00000001467	101.9201	85.119	93.2214	352.7498	251.9682	539.6297	262.286	136.8848	104.8663	51.1319	61.7013	55.7274	252.2618	132.6526	143.2539	15.8671	12.8324	16.8627	63.9651	49.2238	54.0488	197.202	133.5708	248.3798	161.4504	145.7627	150.4424	38.4738	49.7371	46.8482	127.7242	80.2746	76.6645	140.5498	102.5832	122.7038
